timestamp,open (PLN),high (PLN),low (PLN),close (PLN),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2018-11-30,16080.40266520,16159.12164535,14808.09851937,15172.94030659,4272.34754177,4296.79498586,3922.10367215,4004.57660709,3218.53371840,12888864.83782528
2018-11-29,15936.98960699,16735.63651605,15590.29230068,16039.30013102,4227.15000915,4424.84040120,4139.41860730,4261.10562743,3812.43624882,16245193.55407794
2018-11-28,14383.18065927,16553.10276339,14376.35662804,15936.06847961,3784.99773931,4392.44449134,3782.89336485,4226.62541895,3831.19505215,16193026.39236878
2018-11-27,14142.56486410,14635.91778300,13957.51932585,14440.39538113,3731.32987868,3850.13883911,3681.01727164,3799.39416086,3622.62651838,13763786.04092146
2018-11-26,15136.07593012,15541.83505898,13690.17491200,14216.35726619,3997.64303205,4111.39862022,3613.51053263,3751.27509174,3998.58630150,14999797.19500705
2018-11-25,14797.23796048,15598.77352602,13508.15874605,15196.65287088,3908.28551670,4121.48055381,3567.15422583,4013.78215652,4705.89765333,18888448.03134867
2018-11-24,16324.97925366,16582.51988590,14410.39089937,14785.64641540,4311.79657635,4379.81888738,3806.11045064,3905.22392724,3048.83986815,11906402.40341866
2018-11-23,16297.24641439,16463.39314935,15797.02270315,16321.58516257,4328.38797790,4364.79159658,4199.68834118,4310.90012006,3296.30722815,14210051.22559646
2018-11-22,17209.99396896,17303.60761348,16348.88714332,16404.90998192,4554.01684245,4580.82480370,4341.93027031,4356.60052686,1855.93688007,8085575.58954051
2018-11-21,16629.17455309,17444.84764806,16213.10807729,17244.16914458,4386.77690512,4617.11554087,4275.70451270,4563.21706945,3724.96189757,16997809.71402890
2018-11-20,18105.14606326,18483.04872158,15831.03099811,16510.01718140,4789.21311873,4888.07900075,4174.32925643,4354.88365836,7389.49775581,32180403.02027825
2018-11-19,21144.97184722,21169.28585597,17872.30593352,18163.71699907,5588.65928750,5597.97084984,4727.43540848,4805.34326280,5043.13453144,24233992.54406435
2018-11-18,20921.73431098,21410.92114120,20921.73431098,21156.52744923,5535.80227049,5665.23903348,5535.80227049,5591.77552928,1271.52644689,7110090.47054993
2018-11-17,21168.40681238,21168.40681238,20776.35841043,20921.71953480,5600.70028902,5600.70028902,5496.97280411,5535.79836078,1561.80335406,8645828.44726059
2018-11-16,21225.81069441,21317.18976880,20823.86420371,21067.26103992,5607.65377710,5635.88985004,5501.24830428,5573.93931631,2288.97379470,12758601.02827880
2018-11-15,21773.82001589,21836.25761664,20210.36888475,21178.97962532,5735.73969523,5751.45394404,5321.83727344,5596.90797567,3876.72636950,21697680.73693016
