timestamp,open,high,low,close
2018-12-01,3.7891,3.7969,3.7851,3.7908
2018-11-30,3.7630,3.7969,3.7579,3.7936
2018-11-29,3.7689,3.7856,3.7581,3.7638
2018-11-28,3.7997,3.8134,3.7608,3.7687
2018-11-27,3.7884,3.8101,3.7819,3.7998
2018-11-26,3.7839,3.7951,3.7648,3.7884
2018-11-25,3.7846,3.7878,3.7770,3.7839
2018-11-24,3.7846,3.7846,3.7846,3.7846
2018-11-23,3.7632,3.7903,3.7543,3.7859
2018-11-22,3.7763,3.7791,3.7603,3.7632
2018-11-21,3.7904,3.7928,3.7608,3.7766
2018-11-20,3.7803,3.7972,3.7710,3.7904
2018-11-19,3.7763,3.7941,3.7722,3.7801
2018-11-18,3.7738,3.7868,3.7710,3.7763
2018-11-16,3.7871,3.8118,3.7682,3.7751
2018-11-15,3.7947,3.8129,3.7697,3.7871
2018-11-14,3.7988,3.8145,3.7806,3.7947
2018-11-13,3.8363,3.8373,3.7963,3.7989
2018-11-12,3.7851,3.8374,3.7816,3.8361
2018-11-11,3.7817,3.7904,3.7792,3.7850
2018-11-10,3.7817,3.7817,3.7817,3.7817
2018-11-09,3.7627,3.7938,3.7611,3.7903
2018-11-08,3.7499,3.7716,3.7391,3.7627
2018-11-07,3.7683,3.7773,3.7283,3.7506
2018-11-06,3.7721,3.7855,3.7632,3.7682
2018-11-05,3.7819,3.7979,3.7657,3.7734
2018-11-04,3.7823,3.7954,3.7625,3.7813
2018-11-02,3.7883,3.7999,3.7683,3.7823
2018-11-01,3.8357,3.8388,3.7818,3.7888
2018-10-31,3.8169,3.8406,3.8097,3.8357
2018-10-30,3.8022,3.8201,3.7978,3.8169
2018-10-29,3.7786,3.8070,3.7709,3.8022
2018-10-28,3.7808,3.7871,3.7512,3.7786
2018-10-26,3.7880,3.8088,3.7701,3.7807
2018-10-25,3.7821,3.7940,3.7682,3.7880
2018-10-24,3.7445,3.7886,3.7413,3.7821
2018-10-23,3.7420,3.7582,3.7332,3.7445
2018-10-22,3.7338,3.7452,3.7108,3.7422
2018-10-21,3.7294,3.7382,3.7261,3.7338
2018-10-19,3.7603,3.7661,3.7222,3.7294
2018-10-18,3.7308,3.7632,3.7229,3.7593
2018-10-17,3.7012,3.7327,3.6976,3.7308
2018-10-16,3.7045,3.7124,3.6878,3.7015
2018-10-15,3.7167,3.7232,3.6938,3.7045
