Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2018-11-30,109.5,109.8,106.15,109.8,0.32,1282264.0,3469.0,139673.3
2018-11-29,109.2,109.45,107.45,109.45,1.06,482771.0,2999.0,52357.1
2018-11-28,107.4,109.2,107.3,108.3,1.12,666756.0,3833.0,72403.41
2018-11-27,105.5,107.1,104.5,107.1,1.52,698994.0,3228.0,74041.58
2018-11-26,105.15,106.05,104.65,105.5,1.15,552797.0,2734.0,58339.89
2018-11-23,104.45,105.0,103.6,104.3,0.1,195713.0,1450.0,20397.84
2018-11-22,104.1,105.45,102.65,104.2,0.19,283089.0,1757.0,29440.88
2018-11-21,102.6,104.0,102.55,104.0,1.76,516590.0,2768.0,53482.29
2018-11-20,101.7,103.8,100.7,102.2,-0.34,712755.0,3592.0,73007.76
2018-11-19,101.5,102.9,98.14,102.55,1.53,939395.0,4930.0,94982.37
2018-11-16,105.25,106.5,97.3,101.0,-3.72,2542082.0,10896.0,255167.05
2018-11-15,107.4,108.2,104.9,104.9,-2.19,489323.0,3053.0,51922.17
2018-11-14,107.7,108.4,104.65,107.25,-1.56,1009292.0,5374.0,108083.03
2018-11-13,110.4,110.5,107.5,108.95,-1.85,429293.0,2400.0,46935.89
2018-11-09,111.1,111.15,109.7,111.0,-0.67,494627.0,2510.0,54657.74
2018-11-08,111.5,111.75,110.7,111.75,0.22,626987.0,3295.0,69719.11
2018-11-07,108.0,111.85,108.0,111.5,3.34,1350221.0,4541.0,149596.27
2018-11-06,107.2,107.9,106.2,107.9,0.56,412967.0,2282.0,44337.35
2018-11-05,106.5,107.3,105.8,107.3,0.94,493900.0,1858.0,52666.04
2018-11-02,105.5,107.05,105.5,106.3,1.53,835753.0,3515.0,88880.57
2018-10-31,103.0,104.9,102.85,104.7,1.8,1066484.0,3949.0,110957.67
2018-10-30,101.5,102.85,100.85,102.85,1.28,411720.0,2570.0,41977.49
2018-10-29,101.05,102.95,100.3,101.55,0.54,356349.0,2889.0,36209.45
2018-10-26,102.95,103.1,101.0,101.0,-2.08,413948.0,2092.0,41995.08
2018-10-25,102.45,103.15,101.75,103.15,-0.19,643374.0,2248.0,66038.28
2018-10-24,102.3,104.4,102.3,103.35,0.83,417171.0,1994.0,43069.31
2018-10-23,101.8,103.6,101.75,102.5,-0.24,665847.0,3064.0,68404.47
2018-10-22,104.2,104.2,102.3,102.75,-0.82,272059.0,1206.0,28016.95
2018-10-19,103.15,104.0,102.0,103.6,-0.29,523812.0,1628.0,53936.24
2018-10-18,102.6,103.95,102.2,103.9,0.87,404175.0,1488.0,41825.21
2018-10-17,104.25,105.1,102.2,103.0,-0.82,592554.0,2298.0,61432.83
2018-10-16,102.3,103.85,100.85,103.85,2.47,723021.0,2933.0,74087.44
2018-10-15,102.5,102.6,100.8,101.35,-0.78,447997.0,2703.0,45589.43
2018-10-12,102.3,103.1,101.8,102.15,0.2,518108.0,3492.0,53117.95
2018-10-11,101.9,103.0,101.15,101.95,-1.31,841107.0,5365.0,85809.87
2018-10-10,104.95,105.3,102.65,103.3,-1.9,567883.0,2923.0,58940.34
2018-10-09,103.1,105.4,102.7,105.3,2.18,411792.0,2544.0,42795.0
2018-10-08,104.4,104.75,103.05,103.05,-1.29,384991.0,2320.0,39913.16
2018-10-05,105.9,105.9,104.3,104.4,-1.51,387125.0,2453.0,40596.95
2018-10-04,106.5,106.9,105.4,106.0,-1.12,477180.0,3059.0,50605.85
2018-10-03,107.0,108.2,106.85,107.2,0.37,701533.0,2419.0,75260.28
2018-10-02,104.65,106.8,103.8,106.8,1.52,498565.0,3092.0,52791.69
2018-10-01,106.8,107.45,104.65,105.2,-0.94,549833.0,2917.0,58389.23
2018-09-28,107.2,107.5,105.0,106.2,-1.62,1378783.0,4304.0,146532.29
2018-09-27,108.0,108.3,106.35,107.95,-0.37,1082086.0,3475.0,116360.61
2018-09-26,107.65,108.4,106.35,108.35,0.6,693524.0,3564.0,74443.47
2018-09-25,109.0,109.5,107.65,107.7,0.98,856588.0,2758.0,92764.33
2018-09-24,108.55,109.0,105.7,106.65,-1.07,915111.0,4218.0,97858.81
2018-09-21,112.4,112.7,107.8,107.8,-3.53,3941287.0,4817.0,426722.8
2018-09-20,109.6,112.8,109.6,111.75,1.31,749953.0,2821.0,83841.59
2018-09-19,107.75,111.35,107.75,110.3,2.8,869856.0,3600.0,95380.48
2018-09-18,107.2,109.2,106.55,107.3,0.19,596647.0,3043.0,64245.16
2018-09-17,107.45,108.0,106.1,107.1,-0.37,615916.0,3057.0,66081.95
2018-09-14,107.95,107.95,106.55,107.5,0.47,804692.0,2480.0,86411.34
2018-09-13,106.0,108.2,105.4,107.0,1.37,858107.0,3882.0,91608.17
2018-09-12,110.15,111.25,105.55,105.55,-4.13,1207540.0,4911.0,129523.41
2018-09-11,112.65,113.0,109.8,110.1,-1.83,676613.0,3079.0,74936.02
2018-09-10,109.8,112.45,109.8,112.15,2.61,765278.0,3387.0,85366.0
2018-09-07,113.0,113.3,109.1,109.3,-2.93,1019003.0,3731.0,112549.98
2018-09-06,113.5,115.1,112.4,112.6,-1.27,660943.0,3193.0,75037.61
2018-09-05,115.45,116.5,114.05,114.05,-1.26,625832.0,3795.0,71927.57
2018-09-04,117.35,118.8,114.1,115.5,-1.28,520918.0,2995.0,60597.68
2018-09-03,116.85,118.25,116.05,117.0,0.13,495720.0,2802.0,58125.15
2018-08-31,117.3,117.8,115.8,116.85,-0.64,675220.0,2881.0,78775.15
2018-08-30,118.25,119.35,117.0,117.6,-0.34,651067.0,4388.0,76936.26
2018-08-29,119.6,119.7,116.8,118.0,-1.17,724785.0,4176.0,85663.48
2018-08-28,120.6,121.0,118.9,119.4,-0.91,750627.0,4037.0,89751.15
2018-08-27,118.1,120.85,117.8,120.5,2.86,1177559.0,4183.0,141538.5
2018-08-24,118.45,118.9,117.15,117.15,-1.43,519015.0,3353.0,61229.08
2018-08-23,116.0,119.2,116.0,118.85,2.41,1247725.0,4604.0,147298.63
2018-08-22,115.1,117.3,115.1,116.05,0.13,905803.0,3164.0,105649.11
2018-08-21,113.2,116.4,112.05,115.9,2.75,860848.0,3090.0,98706.28
2018-08-20,112.7,113.95,111.8,112.8,1.12,546671.0,2504.0,61699.69
2018-08-17,114.9,114.9,111.3,111.55,-2.23,494775.0,2737.0,55498.04
2018-08-16,114.85,115.7,113.3,114.1,-0.78,789320.0,3906.0,90208.94
2018-08-14,115.4,117.5,113.6,115.0,0.0,512791.0,1988.0,59037.17
2018-08-13,115.2,116.0,114.45,115.0,-0.82,557475.0,2538.0,64164.17
2018-08-10,118.9,118.9,115.45,115.95,-3.33,501371.0,2711.0,58678.13
2018-08-09,118.3,120.25,116.5,119.95,1.7,1010583.0,4055.0,120767.82
2018-08-08,117.3,119.8,116.8,117.95,7.13,3001484.0,10901.0,355269.57
2018-08-07,111.5,112.1,110.1,110.1,-1.26,614912.0,4180.0,68208.5
2018-08-06,111.5,111.5,109.75,111.5,0.45,362806.0,1385.0,40181.3
2018-08-03,111.0,111.7,110.4,111.0,0.0,508980.0,1154.0,56475.19
