Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2018-11-30,112.75,112.75,109.2,110.1,-2.44,1877299.0,8967.0,207136.84
2018-11-29,110.5,113.3,110.1,112.85,2.68,1269304.0,8911.0,142189.38
2018-11-28,105.35,110.5,105.25,109.9,3.97,1015588.0,6788.0,109988.64
2018-11-27,101.55,105.7,100.0,105.7,4.45,1349636.0,7184.0,140092.84
2018-11-26,102.2,103.9,100.65,101.2,-0.93,509339.0,3470.0,51869.26
2018-11-23,104.05,105.5,101.6,102.15,-2.34,585491.0,3714.0,60408.51
2018-11-22,102.0,105.05,100.5,104.6,2.1,612068.0,3333.0,63478.06
2018-11-21,101.25,103.95,101.1,102.45,1.34,1236085.0,6211.0,127052.57
2018-11-20,101.0,101.9,99.4,101.1,-0.69,923390.0,4814.0,93288.74
2018-11-19,99.3,101.8,98.1,101.8,2.83,1003909.0,5787.0,100721.36
2018-11-16,97.62,99.24,96.52,99.0,1.41,851773.0,4984.0,83429.62
2018-11-15,98.98,99.42,97.16,97.62,-0.18,502760.0,3429.0,49264.71
2018-11-14,95.04,99.4,95.04,97.8,2.28,884249.0,4098.0,86602.01
2018-11-13,97.22,97.84,95.12,95.62,-0.85,854163.0,4390.0,82221.6
2018-11-09,93.82,97.0,92.56,96.44,2.6,937865.0,4343.0,89352.77
2018-11-08,97.7,97.7,93.5,94.0,-3.71,1252773.0,5791.0,118746.34
2018-11-07,95.6,97.7,95.6,97.62,1.16,719264.0,3595.0,69836.0
2018-11-06,96.62,97.78,95.02,96.5,0.33,922539.0,5160.0,89058.31
2018-11-05,93.5,96.48,93.08,96.18,2.87,572429.0,3353.0,54341.78
2018-11-02,93.4,94.26,92.68,93.5,1.37,1031626.0,4582.0,96564.68
2018-10-31,91.1,92.82,91.04,92.24,1.5,1136198.0,6795.0,104652.76
2018-10-30,88.42,90.88,88.06,90.88,2.43,1534459.0,7422.0,137295.72
2018-10-29,85.26,88.72,84.86,88.72,4.57,1048875.0,4579.0,91978.81
2018-10-26,88.32,88.74,84.7,84.84,-3.94,997464.0,4863.0,85834.92
2018-10-25,90.2,90.84,88.0,88.32,-3.48,1226435.0,4477.0,109349.2
2018-10-24,91.46,92.46,90.6,91.5,0.55,814807.0,4972.0,74559.13
2018-10-23,92.5,93.3,91.0,91.0,-2.59,718506.0,2681.0,66040.56
2018-10-22,93.88,94.44,92.6,93.42,-0.45,617587.0,2517.0,57913.24
2018-10-19,94.16,94.48,92.5,93.84,-0.17,580478.0,2585.0,54279.38
2018-10-18,95.44,95.74,92.4,94.0,-1.2,780855.0,4488.0,73166.56
2018-10-17,98.44,98.46,94.32,95.14,-2.56,583942.0,3572.0,56048.0
2018-10-16,95.8,97.64,94.5,97.64,2.26,534498.0,2865.0,51651.44
2018-10-15,96.3,96.42,94.3,95.48,-0.85,362878.0,2031.0,34590.99
2018-10-12,94.8,96.8,93.88,96.3,2.86,1230595.0,7585.0,117831.36
2018-10-11,92.9,95.08,91.6,93.62,-0.95,1205143.0,8288.0,112510.54
2018-10-10,97.84,97.84,93.74,94.52,-3.39,864632.0,4628.0,82210.76
2018-10-09,95.16,97.84,95.0,97.84,2.49,1059657.0,5065.0,102724.71
2018-10-08,97.5,97.8,92.8,95.46,-1.91,819298.0,5317.0,77662.92
2018-10-05,99.7,99.7,96.9,97.32,-1.97,1019892.0,3106.0,99535.86
2018-10-04,98.5,99.88,97.62,99.28,0.61,810725.0,4201.0,80000.98
2018-10-03,99.5,100.15,98.02,98.68,-0.28,314240.0,2087.0,31091.5
