Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2018-11-30,112.75,112.75,109.2,110.1,-2.44,1877299.0,8967.0,207136.84
2018-10-31,91.1,92.82,91.04,92.24,1.5,1136198.0,6795.0,104652.76
2018-09-30,101.0,102.55,99.16,101.0,-1.13,802304.0,3170.0,80918.36
2018-08-31,97.7,99.6,96.5,98.24,-0.47,821678.0,3834.0,80758.99
2018-07-31,95.3,95.3,92.46,92.64,-2.85,765830.0,3791.0,71568.2
2018-06-30,83.7,84.2,83.0,84.06,1.89,609360.0,2381.0,51006.63
2018-05-31,81.76,82.98,80.76,81.5,-0.59,2396339.0,4420.0,195831.01
2018-04-30,90.2,91.54,89.02,89.7,-0.18,298022.0,1881.0,26909.06
2018-03-31,84.56,84.88,83.32,84.12,0.62,793988.0,3401.0,66930.82
2018-02-28,98.76,99.0,96.26,96.52,-2.31,1364975.0,6311.0,132283.13
2018-01-31,108.5,109.45,106.75,107.85,-1.37,872234.0,3409.0,94212.56
2017-12-31,109.6,110.3,106.0,106.0,-3.11,516056.0,2844.0,55325.84
2017-11-30,116.4,116.4,110.5,110.8,-4.48,1504909.0,6625.0,167900.36
2017-10-31,130.7,130.95,128.15,128.7,-1.91,660892.0,3662.0,85259.18
2017-09-30,121.5,123.1,120.3,121.7,0.16,489708.0,1946.0,59576.3
2017-08-31,118.5,119.6,117.35,117.9,-0.67,560440.0,2607.0,66146.45
2017-07-31,106.5,108.9,106.0,106.35,-0.19,929854.0,4199.0,99852.13
2017-06-30,114.4,114.95,111.9,111.9,-2.7,753397.0,3143.0,85251.75
2017-05-31,108.0,109.3,106.15,106.15,-1.62,3537210.0,4649.0,376842.67
2017-04-30,117.0,117.4,115.45,116.0,0.09,760187.0,3197.0,88300.4
2017-03-31,103.75,104.6,100.0,100.0,-4.08,938923.0,3668.0,96421.0
2017-02-28,94.77,95.15,93.87,94.2,-0.16,929762.0,2840.0,87689.34
2017-01-31,81.7,82.28,81.18,81.18,-0.16,520060.0,2410.0,42469.19
2016-12-31,85.0,85.5,84.83,85.3,0.59,894611.0,1919.0,76172.67
2016-11-30,76.26,78.18,76.22,76.45,0.29,1725070.0,3737.0,132860.81
2016-10-31,75.6,78.2,75.6,77.8,2.88,3213150.0,5379.0,249740.29
2016-09-30,64.5,65.65,64.18,65.01,-0.26,1505370.0,2934.0,97787.08
2016-08-31,65.8,65.87,64.55,65.0,-1.29,1234350.0,5163.0,80211.97
2016-07-31,63.2,63.5,62.26,62.45,-1.17,1805073.0,4610.0,113041.92
2016-06-30,69.2,69.92,68.81,69.05,-1.0,1343597.0,4476.0,92911.82
2016-05-31,69.17,70.35,69.17,69.18,0.26,1740490.0,5991.0,120911.83
2016-04-30,70.15,70.15,68.73,68.75,-1.48,1145460.0,5511.0,79318.62
